Date,Open,High,Low,Close,Volume,Adj Close
2012-10-15,5793.299805,5928.299805,5786.00,5896.200195,835154700,5896.200195
2012-10-08,5871.00,5871.00,5766.700195,5793.299805,665950500,5793.299805
2012-10-01,5742.100098,5885.600098,5738.600098,5871.00,740324600,5871.00
2012-09-24,5852.600098,5869.200195,5740.50,5742.100098,690092500,5742.100098
2012-09-17,5915.600098,5915.700195,5824.399902,5852.600098,811478300,5852.600098
2012-09-10,5794.799805,5932.600098,5757.600098,5915.600098,976055900,5915.600098
2012-09-03,5711.50,5807.600098,5634.899902,5794.799805,825876600,5794.799805
2012-08-27,5776.600098,5779.50,5705.700195,5711.50,475761400,5711.50
2012-08-20,5852.399902,5872.600098,5739.399902,5776.600098,570749500,5776.600098
2012-08-13,5847.100098,5876.200195,5811.299805,5852.399902,583464000,5852.399902
2012-08-06,5787.299805,5860.200195,5767.100098,5847.100098,637924400,5847.100098
2012-07-30,5627.200195,5794.00,5625.700195,5787.299805,680475200,5787.299805
2012-07-23,5651.799805,5651.799805,5478.00,5627.200195,682934500,5627.200195
2012-07-16,5666.100098,5718.600098,5621.200195,5651.799805,703065000,5651.799805
2012-07-09,5662.600098,5688.700195,5588.799805,5666.100098,634661800,5666.100098
2012-07-02,5571.200195,5727.50,5571.200195,5662.600098,661448900,5662.600098
2012-06-25,5513.700195,5619.700195,5435.50,5571.200195,823170500,5571.200195
2012-06-18,5478.799805,5623.899902,5461.100098,5513.700195,812585700,5513.700195
2012-06-11,5435.100098,5536.299805,5414.600098,5478.799805,1192999500,5478.799805
2012-06-04,5260.200195,5494.50,5260.200195,5435.100098,608975000,5435.100098
2012-05-28,5351.50,5413.799805,5229.799805,5260.200195,911673400,5260.200195
2012-05-21,5267.600098,5408.700195,5253.899902,5351.50,863130300,5351.50
2012-05-14,5575.50,5575.700195,5256.600098,5267.600098,981375800,5267.600098
2012-05-07,5655.100098,5668.100098,5464.399902,5575.50,735883600,5575.50
2012-04-30,5777.100098,5819.899902,5639.799805,5655.100098,840530300,5655.100098
2012-04-23,5772.200195,5789.00,5637.700195,5777.100098,827284700,5777.100098
2012-04-16,5651.799805,5792.100098,5641.100098,5772.200195,927709600,5772.200195
2012-04-09,5723.700195,5727.899902,5576.399902,5651.799805,817338800,5651.799805
2012-04-02,5768.50,5890.200195,5663.299805,5723.700195,772513500,5723.700195
2012-03-26,5854.899902,5941.899902,5726.50,5768.50,997199300,5768.50
2012-03-19,5965.600098,5968.899902,5801.700195,5854.899902,913698900,5854.899902
2012-03-12,5887.50,5989.100098,5860.399902,5965.600098,1118484800,5965.600098
2012-03-05,5911.100098,5911.100098,5755.700195,5887.50,881229600,5887.50
2012-02-27,5935.100098,5944.799805,5858.899902,5911.100098,921961700,5911.100098
2012-02-20,5905.100098,5964.00,5894.600098,5935.100098,904866600,5935.100098
2012-02-13,5852.399902,5923.799805,5829.399902,5905.100098,825770300,5905.100098
2012-02-06,5901.100098,5916.299805,5839.899902,5852.399902,869065100,5852.399902
